# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20210701
# End date: 20211013

Page path + query string and screen class,Views
/,3662
/data-skills-v1/programming-basics.html,3257
/data-skills-v1/getting-to-know-the-data.html,2741
/data-skills-v1/,2325
/data-skills-v1/ref1.html,1654
/analysis-v2/starting-with-r-markdown.html,1333
/reprores-v2/,1166
/quant-fun-v2/programming-basics.html,1081
/stat-models-v1/,1077
/msc-data-skills/ggplot.html,981
/stat-models-v1/introducing-linear-mixed-effects-models.html,815
/stat-models-v1/understanding-correlation-and-regression-through-bivariate-simulation.html,809
/analysis-v2/data-wrangling-a-key-skill.html,790
/analysis-v2/,702
/data-skills-v1/loading-data.html,675
/stat-models-v1/introduction.html,587
/quant-fun-v2/,575
/stat-models-v1/multiple-regression.html,557
/quant-fun-v2/intro-to-r.html,530
/msc-data-skills/sim.html,514
/reprores-v2/intro.html,512
/reprores-v2/exercises.html,441
/quant-fun-v2/data-wrangling-1.html,433
/reprores-v2/repro.html,430
/ug2-practical/,430
/stat-models-v1/index.html,398
/quant-fun-v2/starting-with-data.html,395
/msc-data-skills/,380
/reprores-v2/ggplot.html,355
/stat-models-v1/interactions.html,353
/shiny-tutorials/coding_club.html,352
/data-skills-v1/data-wrangling-1.html,289
/analysis-v2/installing-r.html,286
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,282
/msc-data-skills/glm.html,271
/data-skills-v1/index.html,262
/ug2-practical/data-wrangling-a-key-skill.html,235
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,234
/quant-fun-v2/visualisation.html,229
/reprores-v2/data.html,219
/reprores-v2/index.html,219
/reprores-v2/installingr.html,217
/analysis-v2/data-visualisation-through-ggplot2.html,198
/quant-fun-v2/data-wrangling-2.html,189
/reprores-v2/sim.html,187
/books/,185
/shiny-tutorials/01-first-app.html,169
/data-skills-v1/installing-r.html,165
/glossary/,161
/quant-fun-v2/one-way-anova.html,159
/stat-models-v1/generalized-linear-mixed-effects-models.html,159
/reprores-v2/plotstyle.html,155
/ug2-practical/starting-with-r-markdown.html,153
/quant-fun-v2/index.html,151
/mms/,148
/resources.html,147
/ug2-practical/visualisation-through-ggplot2.html,142
/quant-fun-v2/foreword.html,133
/ug2-practical/within-subjects-t-test.html,132
/reprores-v2/tidyr.html,131
/data-skills-v1/intro-to-data-viz.html,126
/msc-data-skills/intro.html,126
/analysis-v2/index.html,121
/msc-data-skills/data.html,117
/data-skills-v1/data-wrangling-2.html,112
/glossary/r,112
/msc-data-skills/tidyr.html,109
/msc-data-skills/dplyr.html,107
/msc-data-skills/func.html,106
/ug2-practical/nhst-and-one-sample-t-tests.html,106
/introdataviz/,104
/reprores-v2/exercise-answers.html,102
/msc-conv/,99
/reprores-v2/dplyr.html,97
/ug2-practical/correlations.html,97
/template/,91
/msc-data-skills/joins.html,89
/handyworkbook/descriptives.html,84
/data-skills-v1/scatterplots.html,82
/stat-models-v1/modeling-ordinal-data.html,78
/index.html,77
/ug2-practical/introduction-to-glm-one-factor-anova.html,75
/quant-fun-v2/data-wrangling-3.html,74
/reprores-v2/joins.html,72
/ug2-practical/regression.html,72
/reprores-v2/glm.html,70
/ug2-practical/permutation-tests---a-skill-set.html,70
/reprores-v2/func.html,69
/book-template/setup.html,65
/ug2-practical/continuing-the-glm-two-factor-designs.html,65
/glossary/c,64
/msc-data-skills/index.html,63
/data-skills-v1/reshaping-data.html,62
/data-skills-v1/intro-to-probability.html,60
/analysis-v2/updating-r-rstudio-and-packages.html,59
/quant-fun-v2/probability.html,58
/ug2-practical/revisiting-probability-distributions.html,57
/book-template/,56
/msc-data-skills/repro.html,53
/quant-fun-v2/t-tests.html,53
/ug2-practical/continuing-the-glm-one-factor-anova.html,53
/data-skills-v1/aq-data-and-recap.html,51
/quant-fun-v2/power-and-error.html,51
/msc-data-skills/installingr.html,50
/quant-fun-v2/correlation.html,49
/handyworkbook/,48
/introdataviz/getting-started.html,47
/introdataviz/transforming-data.html,47
/quant-fun-v2/installing-r.html,47
/book-template/psyteachr-style-guide.html,46
/introdataviz/introduction.html,46
/reprores-v2/datasets.html,46
/ug2-practical/combining-anova-and-regression-e.g.-ancovas.html,46
/data-skills-v1/mega-pipe.html,44
/introdataviz/representing-summary-statistics.html,43
/data-skills-v1/pipes.html,42
/template/intro.html,40
/glossary/t,39
/quant-fun-v2/factorial-anova.html,39
/data-skills-v1/simulation.html,38
/quant-fun-v2/intro-to-data-viz.html,38
/introdataviz/multi-part-plots.html,37
/quant-fun-v2/citing-r-rstudio.html,37
/glossary/d.html,36
/template/installing-r.html,36
/ug2-practical/foreword.html,36
/ads-v1/,35
/glossary/a.html,35
/data-skills-v1/project-analysis.html,33
/msc-conv/programming-basics.html,33
/reprores-v2/symbols.html,33
/quant-fun-v2/screening-data.html,32
/glossary/c.html,30
/glossary/m,30
/reprores-v2/reprores-v2.pdf,30
/book-template/webex.html,29
/data-skills-v1/probability-continued.html,29
/glossary/d,28
/glossary/p,28
/introdataviz/advanced-plots.html,28
/analysis-v2/exporting-files-from-the-server.html,27
/msc-conv/data-wrangling-1.html,27
/shiny-tutorials/data-input.html,27
/data-skills-v1/updating-r-rstudio-and-packages.html,26
/glossary/s,26
/introdataviz/index.html,26
/quant-fun-v2/multiple-regression.html,26
/glossary/r.html,25
/rmd_output/3/index.html,25
/template/conventions.html,25
/glossary/symbols.html,24
/template/symbols.html,24
/ug2-practical/index.html,24
/ads-v1/intro.html,23
/analysis-v2/symbols.html,23
/msc-conv/t-tests.html,23
/stat-models-v1/bibliography.html,23
/ads-v1/reports.html,22
/msc-conv/correlation.html,22
/rmd_output/2/index.html,22
/rmd_output/4/index.html,22
/ug2-practical/apes---alpha-power-effect-sizes-sample-size.html,22
/glossary/p.html,21
/msc-data-skills/exercise-answers.html,21
/rmd_output/1/index.html,21
/analysis-v2/acknowledgements.html,20
/glossary/a,20
/quant-fun-v2/regression.html,20
/ads-v1/index.html,19
/glossary/w,19
/msc-conv/index.html,19
/rmd_output/0/index.html,19
/Physics-SPM/electronics.html,18
/book-template/index.html,18
/glossary/t.html,18
/glossary/y,18
/reprores-v2/bookrefs.html,18
/ads-v1/viz.html,17
/analysis-v2/foreword.html,17
/glossary/i,17
/handyworkbook/index.html,17
/reprores-v2/conventions.html,17
/ads-v1/data.html,16
/ads-v1/summary.html,16
/glossary/index.html,16
/msc-conv/one-way-anova.html,15
/stat-models-v1/symbols.html,15
/template/index.html,15
/?viewer_pane=1&capabilities=1&host=http%3A%2F%2F127.0.0.1%3A44285,14
/book-template/inclusion.html,14
/msc-conv/data-wrangling-2.html,14
/msc-conv/data-wrangling-3.html,14
/msc-conv/loading-data.html,14
/Physics-SPM/,13
/ads-v1/installing-r.html,13
/analysis-v2/license.html,13
/glossary/b.html,13
/glossary/n,13
/psychopy-bsc-talk/introduction.html,13
/template/references.html,13
/trdair_workshop/,13
/CEPI/,12
/glossary/b,12
/glossary/s.html,12
/handyworkbook/foreword.html,12
/quant-fun-v2/references.html,12
/quant-fun-v2/updating-packages.html,12
/ads-v1/tidy.html,11
/ads-v1/wrangle.html,11
/data-skills-v1/symbols.html,11
/glossary/v.html,11
/msc-conv/comparing-two-correlations.html,11
/msc-conv/power-and-error.html,11
/shiny-tutorials/,11
/template/license.html,11
/ads-v1/custom.html,10
/analysis-v2/references.html,10
/glossary/f,10
/glossary/l.html,10
/glossary/m.html,10
/glossary/o.html,10
/msc-data-skills/symbols.html,10
/ug2-practical/reflection---chpts-10-15.html,10
/Physics-SPM/force-and-motion.html,9
/Physics-SPM/index.html,9
/data-skills-v1/exporting-files-from-the-server.html,9
/glossary/e.html,9
/glossary/o,9
/glossary/w.html,9
/introdataviz/advanced-plots-1.html,9
/msc-conv/intro-to-data-viz.html,9
/msc-conv/intro-to-r.html,9
/msc-conv/probability.html,9
/quant-fun-v2/additional-resources.html,9
/quant-fun-v2/loading-data.html,9
/reprores-v2/reprores-v2.epub,9
/?s=09,8
/glossary/f.html,8
/glossary/y.html,8
/msc-data-skills/acknowledgements.html,8
/psychopy-bsc-talk/index.html,8
/quant-fun-v2/intro-to-data-visualisation.html,8
/reprores-v2/acknowledgements.html,8
/reprores-v2/reprores-v2.mobi,8
/rmd_output/3/,8
/ug2-practical/reflection---chpts-1-9.html,8
/ads-v1/present.html,7
/analysis-v2/data-wrangling-a-key-skill.html?q=wide,7
/glossary/e,7
/glossary/g,7
/glossary/i.html,7
/introdataviz/additional-customisation-options.html,7
/msc-conv/factorial-anova.html,7
/msc-conv/multiple-regression.html,7
/msc-data-skills/datasets.html,7
/Physics-SPM/pressure.html,6
/ads-v1/next.html,6
/ads-v1/plotstyle.html,6
