# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20220306
# End date: 20220312

Page path + query string and screen class,Views
/data-skills-v1/project-analysis.html,1738
/data-skills-v1/data-wrangling-1.html,1221
/data-skills-v1/intro-to-data-viz.html,1043
/data-skills-v1/reshaping-data.html,937
/,766
/data-skills-v1/data-wrangling-2.html,729
/data-skills-v1/scatterplots.html,662
/data-skills-v1/aq-data-and-recap.html,633
/data-skills-v1/mega-pipe.html,587
/data-skills-v1/pipes.html,544
/data-skills-v1/loading-data.html,515
/data-skills-v1/simulation.html,488
/data-skills-v1/probability-continued.html,372
/data-skills-v1/intro-to-probability.html,325
/data-skills-v1/ref1.html,250
/analysis-v2/,215
/data-skills-v1/programming-basics.html,202
/data-skills-v1/,198
/ads-v1/joins.html,187
/reprores-v2/plotstyle.html,181
/data-skills-v1/simulation.html?q=histogram,173
/ads-v1/viz.html,171
/data-skills-v1/data-wrangling-2.html?q=filter,156
/data-skills-v1/getting-to-know-the-data.html,151
/msc-data-skills/ggplot.html,139
/ads-v1/reports.html,135
/ads-v1/summary.html,131
/data-skills-v1/programming-basics.html?q=mean,127
/ads-v1/data.html,121
/stat-models-v1/,121
/analysis-v2/factorial-anova.html,114
/data-skills-v1/data-wrangling-2.html?q=mean,111
/analysis-v2/simple-regression.html,107
/data-skills-v1/data-wrangling-2.html?q=group,105
/msc-data-skills/glm.html,100
/analysis-v2/one-way-anova.html,98
/data-skills-v1/intro-to-data-viz.html?q=violin,96
/ads-v1/intro.html,88
/data-skills-v1/index.html,85
/analysis-v2/multiple-regression.html,84
/data-skills-v1/mega-pipe.html?q=density,84
/analysis-v2/nhst-two-sample-t-test.html,79
/ads-v1/tidy.html,77
/data-skills-v1/reshaping-data.html?q=histogram,72
/data-skills-v1/intro-to-data-viz.html?q=legend,62
/ug2-practical/within-subjects-t-test.html,62
/data-skills-v1/scatterplots.html?q=scatter,61
/analysis-v2/correlations.html,58
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html,58
/analysis-v2/apes---alpha-power-effect-sizes-sample-size.html,55
/quant-fun-v2/,54
/stat-models-v1/introducing-linear-mixed-effects-models.html,54
/data-skills-v1/data-wrangling-2.html?q=summarise,52
