# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20220320
# End date: 20220326

Page path + query string and screen class,Views
/,406
/analysis-v2/one-way-anova.html,230
/ads-v1/wrangle.html,209
/ads-v1/viz.html,172
/ads-v1/tidy.html,169
/ads-v1/intro.html,142
/ads-v1/summary.html,136
/ads-v1/,134
/ads-v1/reports.html,134
/analysis-v2/,133
/analysis-v2/data-wrangling-a-key-skill.html,127
/data-skills-v1/,125
/msc-data-skills/ggplot.html,123
/ads-v1/joins.html,122
/analysis-v2/nhst-two-sample-t-test.html,112
/analysis-v2/data-visualisation-through-ggplot2.html,111
/stat-models-v1/,104
/analysis-v2/factorial-anova.html,99
/msc-data-skills/glm.html,97
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html,93
/data-skills-v1/data-wrangling-1.html,90
/quant-fun-v2/,87
/shinyintro/,86
/ads-v1/data.html,76
/data-skills-v1/intro-to-data-viz.html,76
/quant-fun-v2/regression.html,76
/ads-v1/custom.html,73
/quant-fun-v2/data-wrangling-1.html,73
/ads-v1/index.html,71
/stat-models-v1/introducing-linear-mixed-effects-models.html,71
/quant-fun-v2/data-wrangling-2.html,68
/introdataviz/,64
/quant-fun-v2/multiple-regression.html,63
/data-skills-v1/data-wrangling-2.html,62
/quant-fun-v2/intro-to-data-visualisation.html,62
/introdataviz/advanced-plots.html,55
/shiny-tutorials/01-first-app.html,54
/analysis-v2/multiple-regression.html,53
/quant-fun-v2/one-way-anova.html,53
/quant-fun-v2/correlations.html,52
/quant-fun-v2/data-wrangling-3.html,52
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,52
/analysis-v2/simple-regression.html,50
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,49
/quant-fun-v2/t-tests.html,47
/analysis-v2/factorial-anova.html?q=mean,46
/analysis-v2/correlations.html,45
/reprores-v2/,44
/ads-v1/twitter-hashtags.html,42
/shinyintro/index.html,41
/stat-models-v1/interactions.html,41
/ads-v1/practice-report.html,40
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html,40
/analysis-v2/starting-with-r-markdown.html,40
/data-skills-v1/scatterplots.html,40
/introdataviz/representing-summary-statistics.html,40
/quant-fun-v2/visualisation.html,40
/ug2-practical/within-subjects-t-test.html,40
/ug2-practical/visualisation-through-ggplot2.html,37
/introdataviz/transforming-data.html,36
/reprores-v2/index.html,36
/shinyintro/first-app.html,36
/analysis-v2/revisiting-probability-distributions.html,35
/msc-data-skills/sim.html,34
/quant-fun-v2/programming-basics.html,33
/reprores-v2/intro.html,33
/ads-v1/twitter-data.html,32
/msc-data-skills/,32
/quant-fun-v2/starting-with-data.html,32
/reprores-v2/repro.html,32
/data-skills-v1/reshaping-data.html,31
/data-skills-v1/project-analysis.html,30
/handyworkbook/,30
/introdataviz/getting-started.html,30
/shinyintro/inputs.html,30
/stat-models-v1/correlation-and-regression.html,30
/data-skills-v1/loading-data.html,29
/introdataviz/introduction.html,29
/quant-fun-v2/factorial-anova.html,29
/reprores-v2/data.html,29
/reprores-v2/ggplot.html,29
/introdataviz/multi-part-plots.html,28
/stat-models-v1/introduction.html,28
/analysis-v2/factorial-anova.html?q=violin,27
/data-skills-v1/aq-data-and-recap.html,27
/stat-models-v1/multiple-regression.html,27
/shinyintro/outputs.html,26
/data-skills-v1/programming-basics.html,25
/quant-fun-v2/index.html,25
/quant-fun-v2/intro-to-r.html,25
/data-skills-v1/getting-to-know-the-data.html,24
/quant-fun-v2/screening-data.html,23
/stat-models-v1/generalized-linear-mixed-effects-models.html,23
/ads-v1/installing-r.html,22
/quant-fun-v2/probability.html,22
/shinyintro/sharing.html,22
/analysis-v2/multiple-regression.html?q=recode,21
/quant-fun-v2/power-and-effect-sizes.html,21
/shinyintro/installing-r.html,21
/shiny-tutorials/data-input.html,20
/DTHCB/dthcb_thietke.html,19
/ads-v1/plotstyle.html,19
/analysis-v2/apes---alpha-power-effect-sizes-sample-size.html,19
/analysis-v2/data-wrangling-a-key-skill.html?q=count,18
/data-skills-v1/intro-to-probability.html,18
/data-skills-v1/pipes.html,17
/data-skills-v1/ref1.html,17
/msc-data-skills/data.html,17
/ug2-practical/continuing-the-glm-two-factor-designs.html,17
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=violin,16
/data-skills-v1/index.html,16
/data-skills-v1/probability-continued.html,16
/shinyintro/data.html,16
/data-skills-v1/mega-pipe.html,15
/msc-data-skills/dplyr.html,15
/msc-data-skills/tidyr.html,15
/shinyintro/shinydashboard.html,15
/books/,14
/stat-models-v1/index.html,14
/DTHCB/dthcb_hienmac_moimac.html,12
/analysis-v2/data-wrangling-a-key-skill.html?q=mutate,12
/analysis-v2/data-wrangling-a-key-skill.html?q=recode,12
/analysis-v2/factorial-anova.html?q=recode,12
/analysis-v2/index.html,12
/introdataviz/index.html,12
/reprores-v2/glm.html,12
/shinyintro/modules.html,12
/shinyintro/reports.html,12
/shinyintro/web.html,12
/ug2-practical/revisiting-probability-distributions.html,12
/analysis-v2/data-wrangling-a-key-skill.html?q=group,11
/msc-conv/comparing-two-correlations.html,11
/reprores-v2/dplyr.html,11
/reprores-v2/func.html,11
/ug2-practical/,11
/ug2-practical/data-wrangling-a-key-skill.html,11
/ug2-practical/starting-with-r-markdown.html,11
/DTHCB/dthcb_ncmota.html,10
/ads-v1/references-1.html,10
/analysis-v2/nhst-two-sample-t-test.html?q=student,10
/quant-fun-v2/foreword.html,10
/shinyintro/structure.html,10
/DTHCB/dthcb_gioithieu.html,9
/ads-v1/appendix-updating-r.html,9
/ads-v1/dates-times.html,9
/ads-v1/spotify-data.html,9
/analysis-v2/data-wrangling-a-key-skill.html?q=ungroup,9
/analysis-v2/simple-regression.html?q=mean,9
/introdataviz/conclusion.html,9
/mms/,9
/msc-conv/multiple-regression.html,9
/shinyintro/contingency.html,9
/shinyintro/debugging.html,9
/shinyintro/reactives.html,9
/stat-models-v1/modeling-ordinal-data.html,9
/ug2-practical/introduction-to-glm-one-factor-anova.html,9
/ads-v1/webpages.html,8
/analysis-v2/data-wrangling-a-key-skill.html?q=mean,8
/analysis-v2/factorial-anova.html?q=viol,8
/analysis-v2/nhst-two-sample-t-test.html?q=group%20means,8
/analysis-v2/one-way-anova.html?q=rename,8
/analysis-v2/one-way-anova.html?q=violin,8
/data-skills-v1/simulation.html,8
/glossary/,8
/glossary/u,8
/introdataviz/additional-resources.html,8
/mms/coding_club.html,8
/msc-conv/data-wrangling-1.html,8
/msc-data-skills/func.html,8
/msc-data-skills/index.html,8
/reprores-v2/joins.html,8
/reprores-v2/tidyr.html,8
/ug2-practical/combining-anova-and-regression-e.g.-ancovas.html,8
/ug2-practical/continuing-the-glm-one-factor-anova.html,8
/ads-v1/conventions.html,7
/ads-v1/teams.html,7
/handyworkbook/foreword.html,7
/handyworkbook/one-way-between-subjects-tables.html,7
/msc-conv/power-and-error.html,7
/msc-data-skills/intro.html,7
/msc-data-skills/joins.html,7
/reprores-v2/plotstyle.html,7
/ug2-practical/nhst-and-one-sample-t-tests.html,7
/DTHCB/,6
/DTHCB/dthcb_ncbenhchung.html,6
/DTHCB/dthcb_nccatngang.html,6
/DTHCB/dthcb_sodokethop.html,6
/analysis-v2/data-visualisation-through-ggplot2.html?q=legend,6
/analysis-v2/data-visualisation-through-ggplot2.html?q=violin,6
/analysis-v2/data-wrangling-a-key-skill.html?q=pivot,6
/analysis-v2/factorial-anova.html?q=afex,6
/analysis-v2/factorial-anova.html?q=means,6
/analysis-v2/factorial-anova.html?q=violin%20boxplot,6
/glossary/a,6
