# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20211031
# End date: 20211106

Page path + query string and screen class,Views
/data-skills-v1/data-wrangling-1.html,1599
/data-skills-v1/loading-data.html,1136
/data-skills-v1/data-wrangling-2.html,1108
/data-skills-v1/programming-basics.html,845
/data-skills-v1/ref1.html,794
/quant-fun-v2/data-wrangling-1.html,794
/quant-fun-v2/data-wrangling-2.html,708
/quant-fun-v2/data-wrangling-3.html,653
/analysis-v2/data-wrangling-a-key-skill.html,627
/data-skills-v1/getting-to-know-the-data.html,618
/,542
/quant-fun-v2/programming-basics.html,539
/analysis-v2/data-visualisation-through-ggplot2.html,464
/data-skills-v1/,463
/quant-fun-v2/intro-to-r.html,444
/quant-fun-v2/starting-with-data.html,418
/DTHCB/,377
/analysis-v2/revisiting-probability-distributions.html,344
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html,277
/analysis-v2/,272
/quant-fun-v2/intro-to-data-visualisation.html,271
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,257
/quant-fun-v2/,233
/quant-fun-v2/factorial-anova.html,231
/quant-fun-v2/correlations.html,227
/DTHCB/dthcb_thietke.html,223
/quant-fun-v2/one-way-anova.html,223
/stat-models-v1/,212
/analysis-v2/starting-with-r-markdown.html,208
/DTHCB/dthcb_sdnq.html,196
/data-skills-v1/index.html,193
/DTHCB/dthcb_sodokethop.html,179
/stat-models-v1/introducing-linear-mixed-effects-models.html,176
/DTHCB/dthcb_gioithieu.html,159
/DTHCB/dthcb_nccatngang.html,157
/quant-fun-v2/t-tests.html,156
/DTHCB/dthcb_hienmac_moimac.html,155
/DTHCB/dthcb_nhieu.html,138
/quant-fun-v2/visualisation.html,136
/data-skills-v1/intro-to-data-viz.html,135
/DTHCB/dthls_sailech.html,127
/quant-fun-v2/index.html,109
/DTHCB/dthcb_ncbenhchung.html,105
/DTHCB/dthcb_ncmota.html,102
/msc-data-skills/ggplot.html,99
/stat-models-v1/interactions.html,94
/DTHCB/dthcb_ncdh.html,92
/reprores-v2/tidyr.html,89
/reprores-v2/,87
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,82
/DTHCB/dthcb_cohoi.html,78
/mms/coding_club.html,77
/DTHCB/dthcb_ncct.html,75
/analysis-v2/index.html,73
/DTHCB/dthcb_trinhbay.html,68
/DTHCB/dthcb_dich2.html,67
/ug2-practical/,66
/ug2-practical/data-wrangling-a-key-skill.html,66
/stat-models-v1/multiple-regression.html,65
/ug2-practical/within-subjects-t-test.html,65
