# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20220313
# End date: 20220319

Page path + query string and screen class,Views
/data-skills-v1/project-analysis.html,1011
/,600
/analysis-v2/one-way-anova.html,458
/ads-v1/,385
/analysis-v2/data-wrangling-a-key-skill.html,305
/data-skills-v1/intro-to-data-viz.html,283
/data-skills-v1/data-wrangling-1.html,282
/analysis-v2/,278
/analysis-v2/factorial-anova.html,258
/analysis-v2/nhst-two-sample-t-test.html,215
/ads-v1/tidy.html,201
/ads-v1/joins.html,184
/ads-v1/intro.html,177
/analysis-v2/data-visualisation-through-ggplot2.html,175
/ads-v1/viz.html,166
/data-skills-v1/data-wrangling-2.html,166
/data-skills-v1/,156
/data-skills-v1/simulation.html,143
/data-skills-v1/mega-pipe.html,139
/data-skills-v1/reshaping-data.html,137
/ads-v1/summary.html,133
/analysis-v2/factorial-anova.html?q=mean,129
/data-skills-v1/loading-data.html,129
/ads-v1/reports.html,128
/analysis-v2/multiple-regression.html,125
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html,125
/data-skills-v1/aq-data-and-recap.html,125
/ads-v1/wrangle.html,106
/stat-models-v1/,105
/msc-data-skills/ggplot.html,98
/analysis-v2/simple-regression.html,94
/data-skills-v1/scatterplots.html,94
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html,88
/data-skills-v1/pipes.html,88
/msc-data-skills/glm.html,88
/analysis-v2/correlations.html,85
/analysis-v2/starting-with-r-markdown.html,82
/ads-v1/data.html,81
/ads-v1/index.html,79
/data-skills-v1/probability-continued.html,77
/data-skills-v1/intro-to-probability.html,76
/data-skills-v1/ref1.html,69
/quant-fun-v2/,66
/analysis-v2/multiple-regression.html?q=recode,62
/stat-models-v1/introducing-linear-mixed-effects-models.html,61
/data-skills-v1/programming-basics.html,59
/data-skills-v1/data-wrangling-2.html?q=filter,58
/data-skills-v1/index.html,55
/msc-data-skills/sim.html,53
/stat-models-v1/linear-mixed-effects-models-with-one-random-factor.html,53
/analysis-v2/apes---alpha-power-effect-sizes-sample-size.html,52
/ug2-practical/visualisation-through-ggplot2.html,52
/analysis-v2/index.html,49
/analysis-v2/revisiting-probability-distributions.html,47
/data-skills-v1/getting-to-know-the-data.html,47
/reprores-v2/,46
/ug2-practical/within-subjects-t-test.html,46
/analysis-v2/factorial-anova.html?q=violin,45
/analysis-v2/data-wrangling-a-key-skill.html?q=mutate,43
/shiny-tutorials/01-first-app.html,42
/shinyintro/,41
/analysis-v2/data-wrangling-a-key-skill.html?q=count,40
/introdataviz/advanced-plots.html,40
/ug2-practical/data-wrangling-a-key-skill.html,38
/introdataviz/,36
/ug2-practical/,36
/quant-fun-v2/t-tests.html,35
/stat-models-v1/interactions.html,33
/stat-models-v1/linear-mixed-effects-models-with-crossed-random-factors.html,33
/ads-v1/practice-report.html,32
/ads-v1/advanced.html,31
/analysis-v2/data-wrangling-a-key-skill.html?q=recode,31
/ug2-practical/introduction-to-glm-one-factor-anova.html,31
/introdataviz/representing-summary-statistics.html,30
/data-skills-v1/intro-to-data-viz.html?q=violin,29
/data-skills-v1/programming-basics.html?q=mean,28
/quant-fun-v2/data-wrangling-1.html,28
/reprores-v2/ggplot.html,28
/analysis-v2/simple-regression.html?q=mean,27
/quant-fun-v2/correlations.html,27
/analysis-v2/factorial-anova.html?q=recode,26
/stat-models-v1/introduction.html,26
/ads-v1/custom.html,25
/introdataviz/introduction.html,25
/data-skills-v1/data-wrangling-2.html?q=summarise,24
/stat-models-v1/correlation-and-regression.html,24
/analysis-v2/data-wrangling-a-key-skill.html?q=mean,23
/handyworkbook/,23
/quant-fun-v2/multiple-regression.html,23
/quant-fun-v2/starting-with-data.html,23
/stat-models-v1/index.html,23
/DTHCB/dthcb_thietke.html,22
/ads-v1/plotstyle.html,22
/analysis-v2/one-way-anova.html?q=rename,22
/data-skills-v1/data-wrangling-1.html?q=filter,22
/analysis-v2/data-wrangling-a-key-skill.html?q=group,21
/data-skills-v1/data-wrangling-2.html?q=group,21
/data-skills-v1/intro-to-data-viz.html?q=bar,21
/data-skills-v1/probability-continued.html?q=standard%20deviation,21
/introdataviz/transforming-data.html,21
/quant-fun-v2/intro-to-data-visualisation.html,21
/shinyintro/first-app.html,21
/data-skills-v1/mega-pipe.html?q=mean_se,20
/data-skills-v1/project-analysis.html?q=bar%20chart,20
/data-skills-v1/reshaping-data.html?q=inner_join,20
/quant-fun-v2/data-wrangling-2.html,20
/quant-fun-v2/factorial-anova.html,20
/quant-fun-v2/power-and-effect-sizes.html,20
/ug2-practical/starting-with-r-markdown.html,20
/quant-fun-v2/data-wrangling-3.html,19
/shinyintro/sharing.html,19
/analysis-v2/data-visualisation-through-ggplot2.html?q=legend,18
/data-skills-v1/data-wrangling-2.html?q=group_by,18
/shiny-tutorials/data-input.html,18
/stat-models-v1/generalized-linear-mixed-effects-models.html,18
/stat-models-v1/multiple-regression.html,18
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=violin,17
/data-skills-v1/reshaping-data.html?q=filter,17
/quant-fun-v2/regression.html,17
/ads-v1/twitter-data.html,16
/analysis-v2/factorial-anova.html?q=afex,16
/data-skills-v1/intro-to-data-viz.html?q=viol,16
/data-skills-v1/reshaping-data.html?q=inner,16
/introdataviz/multi-part-plots.html,16
/msc-data-skills/dplyr.html,16
/reprores-v2/plotstyle.html,16
/shinyintro/data.html,16
/shinyintro/inputs.html,16
/DTHCB/dthcb_gioithieu.html,15
/books/,15
/data-skills-v1/loading-data.html?q=sd,15
/data-skills-v1/scatterplots.html?q=mutate,15
/msc-data-skills/,15
/quant-fun-v2/programming-basics.html,15
/ug2-practical/continuing-the-glm-one-factor-anova.html,15
/ads-v1/installing-r.html,14
/analysis-v2/nhst-two-sample-t-test.html?q=student,14
/analysis-v2/one-way-anova.html?q=mutate,14
/data-skills-v1/data-wrangling-2.html?q=mean,14
/introdataviz/getting-started.html,14
/introdataviz/index.html,14
/quant-fun-v2/index.html,14
/reprores-v2/func.html,14
/data-skills-v1/mega-pipe.html?q=bar,13
/data-skills-v1/programming-basics.html?q=standard%20deviation,13
/quant-fun-v2/intro-to-r.html,13
/quant-fun-v2/one-way-anova.html,13
/ug2-practical/combining-anova-and-regression-e.g.-ancovas.html,13
/analysis-v2/data-wrangling-a-key-skill.html?q=summarise,12
/ads-v1/data-types.html,11
/data-skills-v1/data-wrangling-2.html?q=median,11
/mms/coding_club.html,11
/reprores-v2/glm.html,11
/tutorials/,11
/ug2-practical/continuing-the-glm-two-factor-designs.html,11
/ads-v1/appendix-updating-r.html,10
/ads-v1/twitter-hashtags.html,10
/analysis-v2/factorial-anova.html?q=violin%20boxplot,10
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=rename,10
/analysis-v2/nhst-two-sample-t-test.html?q=recode,10
/analysis-v2/one-way-anova.html?q=violin,10
/data-skills-v1/data-wrangling-2.html?q=mutate,10
/data-skills-v1/data-wrangling-2.html?q=select,10
/data-skills-v1/intro-to-data-viz.html?q=bar%20,10
/data-skills-v1/loading-data.html?q=SD,10
/msc-data-skills/data.html,10
/msc-data-skills/datasets.html,10
/quant-fun-v2/visualisation.html,10
/reprores-v2/intro.html,10
/reprores-v2/sim.html,10
/DTHCB/dthcb_hienmac_moimac.html,9
/DTHCB/dthcb_nccatngang.html,9
/analysis-v2/data-wrangling-a-key-skill.html?q=group_by,9
/analysis-v2/data-wrangling-a-key-skill.html?q=pivot,9
/analysis-v2/factorial-anova.html?q=viol,9
/analysis-v2/nhst-two-sample-t-test.html?q=count,9
/analysis-v2/updating-r-rstudio-and-packages.html,9
/data-skills-v1/intro-to-data-viz.html?q=legend,9
/data-skills-v1/mega-pipe.html?q=error,9
/data-skills-v1/project-analysis.html?fbclid=IwAR1ou-fj2bFi6unHRd9oPNuTKxR38a83vhXhQfiPCy9nB6TuZeX3XTOv-jQ,9
/data-skills-v1/project-analysis.html?q=error%20bars,9
/glossary/c,9
/msc-conv/comparing-two-correlations.html,9
/quant-fun-v2/probability.html,9
/reprores-v2/index.html,9
/shinyintro/index.html,9
/shinyintro/reactives.html,9
/ug2-practical/revisiting-probability-distributions.html,9
/DTHCB/,8
/analysis-v2/data-visualisation-through-ggplot2.html?q=violin,8
/analysis-v2/data-wrangling-a-key-skill.html?q=wide%20format,8
/analysis-v2/factorial-anova.html?q=means,8
/analysis-v2/multiple-regression.html?q=mean,8
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=select,8
/analysis-v2/nhst-two-sample-t-test.html?q=violin,8
/data-skills-v1/data-wrangling-2.html?q=remove,8
/data-skills-v1/intro-to-data-viz.html?q=bar%20chart,8
/data-skills-v1/intro-to-data-viz.html?q=bar%20plot,8
/data-skills-v1/project-analysis.html?q=mean_se,8
/data-skills-v1/simulation.html?q=histogram,8
/handyworkbook/point-estimates.html,8
/mms/,8
/msc-conv/,8
/msc-conv/dissertation-analysis-guide.html,8
/msc-data-skills/func.html,8
/shinyintro/outputs.html,8
/shinyintro/shinydashboard.html,8
/analysis-v2/data-visualisation-through-ggplot2.html?q=add%20variable,7
/analysis-v2/data-wrangling-a-key-skill.html?q=divide,7
/analysis-v2/factorial-anova.html?q=aov_ez,7
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=average,7
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=colour,7
/analysis-v2/one-way-anova.html?q=recode,7
/analysis-v2/starting-with-r-markdown.html?q=sum,7
/analysis-v2/starting-with-r-markdown.html?q=table,7
/data-skills-v1/data-wrangling-2.html?q=average,7
/data-skills-v1/data-wrangling-2.html?q=grou,7
/data-skills-v1/data-wrangling-2.html?q=summa,7
/data-skills-v1/mega-pipe.html?q=violin,7
/data-skills-v1/project-analysis.html?q=na.rm,7
/data-skills-v1/project-analysis.html?q=standard%20,7
/data-skills-v1/reshaping-data.html?q=pivot,7
/data-skills-v1/scatterplots.html?q=scatter,7
/glossary/d.html,7
/msc-conv/correlation.html,7
/msc-data-skills/intro.html,7
/quant-fun-v2/citing-r-rstudio.html,7
/ug2-practical/apes---alpha-power-effect-sizes-sample-size.html,7
/DTHCB/dthcb_dich2.html,6
/ads-v1/conventions.html,6
/ads-v1/spotify-data.html,6
/ads-v1/teams.html,6
/analysis-v2/factorial-anova.html?q=DV,6
/analysis-v2/factorial-anova.html?q=vio,6
/analysis-v2/factorial-anova.html?q=violi,6
/analysis-v2/installing-r.html,6
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=mean,6
/analysis-v2/nhst-two-sample-t-test.html?q=group%20means,6
/analysis-v2/one-way-anova.html?q=as.factor,6
/analysis-v2/revisiting-probability-distributions.html?q=mean,6
/basel-longitudinal/index.html,6
/data-skills-v1/data-wrangling-2.html?q=ungroup,6
/data-skills-v1/mega-pipe.html?q=bar%20chart,6
/data-skills-v1/project-analysis.html?q=error%20bar,6
/data-skills-v1/project-analysis.html?q=recode,6
/data-skills-v1/reshaping-data.html?q=histogram,6
/data-skills-v1/simulation.html?q=standard%20deviation,6
/glossary/o.html,6
/introdataviz/references.html,6
/msc-conv/visualisation.html,6
/msc-data-skills/index.html,6
/reprores-v2/tidyr.html,6
/shinyintro/modules.html,6
/stat-models-v1/modeling-ordinal-data.html,6
/ug2-practical/correlations.html,6
/ug2-practical/permutation-tests---a-skill-set.html,6
/DTHCB/dthcb_ncmota.html,5
/ads-v1/joins.html?q=tibble,5
/ads-v1/webpages.html,5
/analysis-v2/data-wrangling-a-key-skill.html?q=total,5
/analysis-v2/factorial-anova.html?q=anova,5
/analysis-v2/factorial-anova.html?q=average,5
/analysis-v2/factorial-anova.html?q=violin%20box,5
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=t.test,5
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=assumption,5
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=violin%20,5
/analysis-v2/nhst-two-sample-t-test.html?q=mean,5
/analysis-v2/nhst-two-sample-t-test.html?q=mutate,5
/analysis-v2/nhst-two-sample-t-test.html?q=welch,5
/analysis-v2/one-way-anova.html?q=geom_violin,5
/analysis-v2/one-way-anova.html?q=sum,5
/data-skills-v1/data-wrangling-1.html?q=group%20by,5
/data-skills-v1/data-wrangling-2.html?q=summar,5
/data-skills-v1/installing-r.html,5
/data-skills-v1/intro-to-data-viz.html?q=violi,5
/data-skills-v1/intro-to-probability.html?q=standard%20deviation,5
/data-skills-v1/loading-data.html?q=inner_join,5
/data-skills-v1/mega-pipe.html?q=density,5
/data-skills-v1/probability-continued.html?q=standard%20de,5
/data-skills-v1/reshaping-data.html?q=group_by,5
/data-skills-v1/scatterplots.html?q=group%20by,5
/glossary/c.html,5
/glossary/m,5
/glossary/s.html,5
/handyworkbook/one-way-between-subjects-tables.html,5
/quant-fun-v2/screening-data.html,5
/shiny-tutorials/03-science-tools.html,5
/trdair_workshop/,5
/ug2-practical/foreword.html,5
/ug2-practical/nhst-and-one-sample-t-tests.html,5
/DTHCB/dthcb_sodokethop.html,4
/ads-v1/symbols.html,4
/analysis-v2/data-wrangling-a-key-skill.html?q=ungroup,4
/analysis-v2/factorial-anova.html?q=aov_ez(),4
/analysis-v2/multiple-regression.html?q=wide,4
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=legend,4
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=wide,4
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=assumptions,4
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=geom_violin,4
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=vio,4
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=viol,4
/analysis-v2/nhst-two-sample-t-test.html?q=read_csv,4
/analysis-v2/one-way-anova.html?q=mean(,4
/analysis-v2/revisiting-probability-distributions.html?q=replace,4
/data-skills-v1/data-wrangling-1.html?q=group,4
/data-skills-v1/data-wrangling-1.html?q=group_by,4
/data-skills-v1/data-wrangling-1.html?q=mean,4
/data-skills-v1/data-wrangling-1.html?q=select,4
/data-skills-v1/data-wrangling-2.html?q=fil,4
/data-skills-v1/data-wrangling-2.html?q=filte,4
/data-skills-v1/intro-to-data-viz.html?q=ggplot,4
/data-skills-v1/mega-pipe.html?q=save,4
/data-skills-v1/probability-continued.html?q=mean,4
/data-skills-v1/project-analysis.html?q=recod,4
/data-skills-v1/reshaping-data.html?q=inner%20join,4
/data-skills-v1/simulation.html?q=bar,4
/glossary/,4
/glossary/a.html,4
/glossary/b.html,4
/glossary/d,4
/glossary/index.html,4
/glossary/l.html,4
/glossary/o,4
/glossary/v.html,4
/handyworkbook/correlation-pearson.html,4
/introdataviz/advanced-plots-1.html,4
/msc-conv/multiple-regression.html,4
/msc-data-skills/joins.html,4
/quant-fun-v2/foreword.html,4
/reprores-v2/data.html,4
/reprores-v2/dplyr.html,4
/reprores-v2/joins.html,4
/resources.html,4
/shinyintro/debugging.html,4
/shinyintro/reports.html,4
/shinyintro/web.html,4
/ug2-practical/regression.html,4
/DTHCB/dthcb_ncbenhchung.html,3
/DTHCB/dthcb_ncct.html,3
/ads-v1/data.html?q=csv,3
/ads-v1/dates-times.html,3
/ads-v1/tidy.html?q=column%20names,3
/analysis-v2/apes---alpha-power-effect-sizes-sample-size.html?q=cohen,3
/analysis-v2/data-visualisation-through-ggplot2.html?q=boxplot,3
/analysis-v2/data-visualisation-through-ggplot2.html?q=theme,3
/analysis-v2/data-wrangling-a-key-skill.html?q=Recode,3
/analysis-v2/data-wrangling-a-key-skill.html?q=add%20,3
/analysis-v2/data-wrangling-a-key-skill.html?q=wide,3
/analysis-v2/factorial-anova.html?q=aov,3
/analysis-v2/factorial-anova.html?q=colour,3
/analysis-v2/factorial-anova.html?q=mutate,3
/analysis-v2/multiple-regression.html?q=average,3
/analysis-v2/multiple-regression.html?q=gender,3
/analysis-v2/multiple-regression.html?q=variable,3
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=fill,3
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=pivot_longer,3
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html?q=t%20test,3
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=violi,3
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html?q=violin%20plot,3
/analysis-v2/nhst-two-sample-t-test.html?q=group%20mean,3
/analysis-v2/nhst-two-sample-t-test.html?q=students,3
/analysis-v2/nhst-two-sample-t-test.html?q=t-test,3
/analysis-v2/one-way-anova.html?q=afex,3
/analysis-v2/one-way-anova.html?q=anova,3
/analysis-v2/one-way-anova.html?q=aov,3
/analysis-v2/one-way-anova.html?q=aov_ez,3
/analysis-v2/one-way-anova.html?q=aov_ez(),3
/analysis-v2/one-way-anova.html?q=one,3
/analysis-v2/simple-regression.html?q=na.rm,3
/analysis-v2/simple-regression.html?q=students%20t,3
/basel-longitudinal/linear-mixed-effects-models.html,3
/book-template/setup.html,3
/data-skills-v1/data-wrangling-1.html?q=grou,3
/data-skills-v1/data-wrangling-1.html?q=table,3
/data-skills-v1/data-wrangling-1.html?q=tibble,3
/data-skills-v1/data-wrangling-2.html?q=arrange,3
/data-skills-v1/data-wrangling-2.html?q=legend,3
/data-skills-v1/data-wrangling-2.html?q=sd,3
/data-skills-v1/data-wrangling-2.html?q=summ,3
/data-skills-v1/data-wrangling-2.html?q=violin,3
/data-skills-v1/intro-to-data-viz.html?q=barplot,3
/data-skills-v1/intro-to-data-viz.html?q=factor,3
/data-skills-v1/intro-to-data-viz.html?q=ggpl,3
